experiment_id,job_id,results_file,package_id,package_name,worker_id,config_id,replicate_no,setup_time,run_time,collect_time,hw_cpu_arch,hw_cpu_mhz,hw_num_cpus,hw_page_sz,hw_ram_sz,sw_address_randomization,sw_autogroup,sw_compiler,sw_drop_caches,sw_env_padding,sw_filesystem,sw_freq_scaling,sw_link_order,sw_opt_flag,sw_swap,config,NO_ASM,NO_8X8DCT,NO_CABAC,NO_DEBLOCK,NO_FAST_PSKIP,NO_MBTREE,NO_MIXED_REFS,NO_WEIGHTB,RC_LOOKAHEAD,REF,size,time
326,34092,34092.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,103,0,39,221.149209976196,82.477236032486,0.15828800201416,i686,3200,2,4096,902464,on,off,gcc,off,0,ext4,off,default,-O2,on,7,--no-asm,,,,,--no-mbtree,,--no-weightb,--rc-lookahead-40,--ref-9,568,82.35
326,48850,48850.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,81,0,407,72.9352729320526,3.52038192749023,0.132488965988159,x86_64,2411,16,4096,32965280,on,off,gcc,off,0,ext4,off,default,-O2,on,81,--no-asm,,,--no-deblock,--no-fast-pskip,,,--no-weightb,--rc-lookahead-20,--ref-1,308,3.4
326,43993,43993.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,106,0,1306,210.281502962112,24.8919298648834,0.125019073486328,i686,3192,2,4096,505664,on,off,gcc,off,0,ext4,off,default,-O2,on,261,--no-asm,,,--no-deblock,--no-fast-pskip,,--no-mixed-refs,,--rc-lookahead-60,--ref-1,304,24.77
326,46155,46155.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,75,0,590,203.01428103447,39.5175609588623,0.141700983047485,i686,3200,2,4096,1000436,on,off,gcc,off,0,ext4,off,default,-O2,on,118,--no-asm,,,--no-deblock,,--no-mbtree,--no-mixed-refs,--no-weightb,--rc-lookahead-20,--ref-5,572,39.39
326,48865,48865.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,81,0,422,75.2322499752045,3.57313299179077,0.13575291633606,x86_64,2411,16,4096,32965280,on,off,gcc,off,0,ext4,off,default,-O2,on,84,--no-asm,,,,,--no-mbtree,--no-mixed-refs,--no-weightb,--rc-lookahead-60,--ref-1,576,3.42
326,31821,31821.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,128,0,646,200.65170788765,18.3534560203552,0.175621032714844,i686,2993,2,4096,2072552,on,off,gcc,off,0,ext4,off,default,-O2,on,129,--no-asm,,,,,--no-mbtree,,,--rc-lookahead-20,--ref-1,576,18.2
326,29715,29715.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,105,0,1418,206.939826011658,40.8399910926819,0.141908168792725,i686,3200,2,4096,902464,on,off,gcc,off,0,ext4,off,default,-O2,on,283,--no-asm,,,--no-deblock,--no-fast-pskip,,--no-mixed-refs,--no-weightb,--rc-lookahead-40,--ref-5,304,40.69
326,47741,47741.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,98,0,737,219.426409006119,77.1625180244446,0.124967098236084,i686,2992,2,4096,894272,on,off,gcc,off,0,ext4,off,default,-O2,on,147,--no-asm,,,--no-deblock,--no-fast-pskip,,,,--rc-lookahead-40,--ref-9,308,77.03999999999999
326,41243,41243.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,97,0,1434,205.032816886902,45.5733549594879,0.141810894012451,i686,2992,2,4096,894176,on,off,gcc,off,0,ext4,off,default,-O2,on,286,--no-asm,,,,,,--no-mixed-refs,,--rc-lookahead-20,--ref-9,288,45.44
326,43837,43837.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,106,0,1150,212.106590032578,29.7173509597778,0.133440017700195,i686,3192,2,4096,505664,on,off,gcc,off,0,ext4,off,default,-O2,on,230,--no-asm,,,--no-deblock,,--no-mbtree,,--no-weightb,--rc-lookahead-40,--ref-1,584,29.59
