collect_time,config_id,experiment_id,hw_cpu_arch,hw_cpu_mhz,hw_gpu_mhz,hw_num_cpus,hw_page_sz,hw_ram_mhz,hw_ram_sz,job_id,package_id,package_name,replicate_no,results_file,run_time,setup_time,sw_address_randomization,sw_autogroup,sw_compiler,sw_drop_caches,sw_env_padding,sw_filesystem,sw_freq_scaling,sw_link_order,sw_opt_flag,sw_swap,sw_sys_time,worker_id,job_id,-bail,-stats,config,journal_mode,mmap_size,page_size,time,synchronous
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,False,True,config_29,MEMORY,268435456,512,348.092102051,ON
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,False,True,config_30,MEMORY,268435456,65536,333.794531107,OFF
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,False,True,config_31,MEMORY,268435456,65536,339.344686031,ON
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,True,False,config_32,DELETE,0,512,222.834939003,OFF
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,True,False,config_33,DELETE,0,512,221.804386854,ON
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,True,False,config_34,DELETE,0,65536,205.278218985,OFF
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,True,False,config_35,DELETE,0,65536,209.126557112,ON
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,True,False,config_36,DELETE,268435456,512,215.317003965,OFF
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,True,False,config_37,DELETE,268435456,512,215.662094831,ON
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,True,False,config_38,DELETE,268435456,65536,205.152995825,OFF
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,True,False,config_39,DELETE,268435456,65536,208.389893055,ON
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,True,False,config_40,MEMORY,0,512,221.599310875,OFF
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,True,False,config_41,MEMORY,0,512,223.214967012,ON
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,True,False,config_42,MEMORY,0,65536,204.37805295,OFF
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,True,False,config_43,MEMORY,0,65536,209.189698219,ON
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,True,False,config_44,MEMORY,268435456,512,214.990157843,OFF
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,True,False,config_45,MEMORY,268435456,512,217.799108028,ON
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,True,False,config_46,MEMORY,268435456,65536,207.982943058,OFF
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,True,False,config_47,MEMORY,268435456,65536,209.526259899,ON
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,True,True,config_48,DELETE,0,512,349.679357052,OFF
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,True,True,config_49,DELETE,0,512,349.136609077,ON
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,True,True,config_50,DELETE,0,65536,333.193114996,OFF
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,True,True,config_51,DELETE,0,65536,334.456526995,ON
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,True,True,config_52,DELETE,268435456,512,347.185009956,OFF
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,True,True,config_53,DELETE,268435456,512,342.231969833,ON
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,True,True,config_54,DELETE,268435456,65536,332.728127003,OFF
